flux_date,jar,t1,t2,t3,t4
2019-05-27,1,3451.62,3257.35,3490,NA
2019-05-27,2,3376.32,3311.23,3020.46,NA
2019-05-27,3,3742.51,3307.77,3044.03,NA
2019-05-27,4,3374.57,3307.01,3313.3,NA
2019-05-27,5,3308.48,3330.31,3305.02,NA
2019-05-27,6,3441.58,3335.5,3279.76,NA
2019-05-27,7,2398.83,2314.67,2312.86,NA
2019-05-27,8,3338.71,3254.44,3195.07,NA
2019-05-27,9,2683.96,1195.45,604.8,NA
2019-05-27,10,3545.69,3400.45,3398.23,NA
2019-05-27,11,3519.42,3575.64,3572.79,NA
2019-05-27,12,3635.18,3530.63,3563.84,NA
2019-05-27,13,3513.01,3405.07,3322.19,NA
2019-05-27,14,3538.13,3539.5,3543.09,NA
2019-05-27,15,3499.93,3401.4,3437.58,NA
2019-05-27,16,2823.31,1731.52,1689.06,NA
2019-05-27,17,2531.38,2446.66,2409.8,NA
2019-06-07,1,85349.43,3926.94,3845.78,4060.09
2019-06-07,2,22998.14,4119.72,4171.03,4186.39
2019-06-07,3,3947.21,3950.58,3822.92,3749.22
2019-06-07,4,4328.7,4129.64,4071.08,4053.96
2019-06-07,5,4076.88,3676.42,3630.55,3436.53
2019-06-07,6,4381.15,3753.27,4012,3959.13
2019-06-07,7,4278.55,3896.32,3676.27,3512.31
2019-06-07,8,3676.44,2963.05,2339.07,1874.11
2019-06-07,9,4008.29,3665.39,3624.23,3501.97
2019-06-07,10,4041.34,3826.53,3723.45,3655.42
2019-06-07,11,4241.12,3882.37,3685.89,3552.25
2019-06-07,12,4109.58,3732.16,3509.09,3288.16
2019-06-07,13,4106.24,4013.26,3910.32,3822.75
2019-06-07,14,3976.76,3550.98,3241.96,3003.63
2019-06-07,16,3972.09,4024.41,3935.98,3917.93
2019-06-07,17,4047.99,3955.65,3890.98,3920.76
2019-06-07,18,3919.05,3475.65,3137.98,2932.57
2019-06-07,19,3860.4,3507.33,3141.92,2957.23
2019-06-07,20,3973.33,3641.72,3916.13,3204.91
2019-06-07,21,3669.24,3620.62,3286.61,3101.11
2019-06-07,22,3835.15,3672.18,3403.59,3227.17
2019-06-07,23,4251.29,3913.63,3896.6,3949.05
2019-06-14,1,6800.83,3939.57,3609.04,3472.26
2019-06-14,2,4716.67,4189.18,3767.8,3239.98
2019-06-14,3,4521.91,4017.64,3548.12,3516.88
2019-06-14,4,4618.67,4141.05,3763.49,2910.7
2019-06-14,5,4249.72,3357.64,2232.9,650.2
2019-06-14,6,4327.95,3513.02,2919.05,1495.35
2019-06-14,7,4482.49,2737.35,1331.99,130.7
2019-06-14,8,3882.63,4128.97,3829.4,3345.9
2019-06-14,9,4295.57,4116.92,3495.27,2384.5
2019-06-14,10,4117.5,3787.43,3089.16,1886.9
2019-06-14,11,4006.59,3641.13,3046.07,1836.9
2019-06-14,12,4305.45,3691.68,2961.6,1534.5
2019-06-14,13,4095.08,3906.91,3674.5,3311.2
2019-06-14,15,4148.87,4132.74,3918.4,3730.9
2019-06-14,16,4287.51,4018.19,3585.5,2466.1
2019-06-14,17,3915.5,3562.72,2688.4,1279.8
2019-06-14,18,4314.37,4114.79,3758,2994.9
2019-06-14,19,4430.17,4220.11,4468.2,2955
2019-06-14,20,4152.56,3649.28,2859.4,1481.1
2019-06-14,21,4062.04,3463.2,2505.7,1040.3
2019-06-14,22,4371.25,3829.53,3006.9,1526.9
