vial,vol,t,time,area,conc
0_1a,0.5,1,12:28:00 PM,4514.16,657.8247596
0_1b,0.5,1,12:31:00 PM,1893.37,326.1375772
0_1c,0.5,1,12:01:00 PM,4558.3,663.411118
1a,0.5,1,11:51:00 AM,2042.62,345.0266572
1b,0.5,1,12:18:00 PM,4480.49,653.5634844
1c,0.5,1,12:25:00 PM,5085,730.07027
5a,0.5,1,11:45:00 AM,1380.4,261.216094
5b,0.5,1,12:13:00 PM,4358.1,638.073806
5c,0.5,1,12:34:00 PM,5233.48,748.8618988
0_1a,0.5,2,02:32:00 PM,5068.85,728.026326
0_1b,0.5,2,02:35:00 PM,1907.13,327.8790428
0_1c,0.5,2,02:17:00 PM,4727.93,684.8794908
1a,0.5,2,02:14:00 PM,4613.97,670.4567132
1b,0.5,2,02:24:00 PM,5021.85,722.078006
1c,0.5,2,02:28:00 PM,5010.6,720.654206
5a,0.5,2,02:10:00 PM,3618.5,544.47003
5b,0.5,2,02:22:00 PM,4445.3,649.109838
5c,0.5,2,02:38:00 PM,5582.5,793.03387
check_std,0.5,2,02:09:00 PM,3577.68,539.3038508
0_1a,0.5,3,06:12:00 PM,5034.4,723.666334
0_1b,0.5,3,06:15:00 PM,2082.49,350.0726044
0_1c,0.5,3,05:57:00 PM,4702.86,681.7066316
1a,0.5,3,05:54:00 PM,4814.52,695.8383212
1b,0.5,3,06:05:00 PM,4587.48,667.1041388
1c,0.5,3,06:09:00 PM,5016.45,721.394582
5a,0.5,3,05:51:00 PM,4139.18,610.3672908
5b,0.5,3,06:01:00 PM,4858.63,701.4208828
5c,0.5,3,06:19:00 PM,5408.22,770.9769932
check_std,0.5,3,05:49:00 PM,3127.49,482.3278044
0_1a,0.5,4,09:03:00 PM,4983.21,717.1877276
0_1b,0.5,4,09:06:00 PM,1920.96,329.6293676
0_1c,0.5,4,08:47:00 PM,4780.23,691.4985788
1a,0.5,4,08:43:00 PM,4432.26,647.4594956
1b,0.5,4,08:55:00 PM,5057.16,726.5468396
1c,0.5,4,08:59:00 PM,4929.5,710.39019
5a,0.5,4,08:40:00 PM,3710.66,556.1337996
5b,0.5,4,08:50:00 PM,4805.2,694.658782
5c,0.5,4,09:09:00 PM,5225.05,747.794998
check_std,0.5,4,08:38:00 PM,3031.68,470.2020908
