gc3f_id	primer_plate	primer_well	sample_id	pcr_well
am01	DD	A1	G2N01	B1
am02	DD	A2	G2N02	B2
am03	DD	A3	G2N03	B3
am04	DD	A4	G2N04	B4
am05	DD	A5	G2N05	B5
am06	DD	A6	G2N06	B6
am07	DD	A7	G2N07	B7
am08	DD	A8	G2N08	B8
am09	DD	A9	G2N09	B9
am10	DD	F1	G2N10	B10
am11	DD	F2	G2N11	B11
am12	DD	F3	G2N12	B12
am13	DD	B1	G2P01	C1
am14	DD	B2	G2P02	C2
am15	DD	B3	G2P03	C3
am16	DD	B4	G2P04	C4
am17	DD	B5	G2P05	C5
am18	DD	B6	G2P06	C6
am19	DD	B7	G2P07	C7
am20	DD	B8	G2P08	C8
am21	DD	B9	G2P09	C9
am22	DD	F4	G2P10	C10
am23	DD	F5	G2P11	C11
am24	DD	F6	G2P12	C12
am25	DD	C1	G5N01	D1
am26	DD	C2	G5N02	D2
am27	DD	C3	G5N03	D3
am28	DD	C4	G5N04	D4
am29	DD	C5	G5N05	D5
am30	DD	C6	G5N06	D6
am31	DD	C7	G5N07	D7
am32	DD	C8	G5N08	D8
am33	DD	C9	G5N09	D9
am34	DD	F7	G5N10	D10
am35	DD	F8	G5N11	D11
am36	DD	F9	G5N12	D12
am37	DD	D1	G5P01	E1
am38	DD	D2	G5P02	E2
am39	DD	D3	G5P03	E3
am40	DD	D4	G5P04	E4
am41	DD	D5	G5P05	E5
am42	DD	D6	G5P06	E6
am43	DD	D7	G5P07	E7
am44	DD	D8	G5P08	E8
am45	DD	D9	G5P09	E9
am46	DD	G1	G5P10	E10
am47	DD	G2	G5P11	E11
am48	DD	G3	G5P12	E12
am49	DD	E1	NC01	F1
am50	DD	E2	NC02	F2
am51	DD	E3	NC03	F3
am52	DD	E4	NC04	F4
am53	DD	E5	NC05	F5
am54	DD	E6	PM01	F6
am55	DD	E7	PM02	F7
am56	DD	E8	PM03	F8
am57	DD	E9	SC01	F9
am58	DD	G4	SC02	F10
am59	DD	G5	PCRP	F11
am60	DD	G6	PCRN	F12
