plate	well	platewell	qubit_ngml
P1	B1	P1B1	16.1
P1	B2	P1B2	27.1
P1	B3	P1B3	24.5
P1	B4	P1B4	50.9
P1	B5	P1B5	25.8
P1	B6	P1B6	42.5
P1	B7	P1B7	34.1
P1	B8	P1B8	33.2
P1	B9	P1B9	41.1
P1	B10	P1B10	31.3
P1	B11	P1B11	43.6
P1	B12	P1B12	87.3
P1	C1	P1C1	11.9
P1	C2	P1C2	41.9
P1	C3	P1C3	43.2
P1	C4	P1C4	38.1
P1	C5	P1C5	25.4
P1	C6	P1C6	27.3
P1	C7	P1C7	51.2
P1	C8	P1C8	30.5
P1	C9	P1C9	31.1
P1	C10	P1C10	46.6
P1	C11	P1C11	37.6
P1	C12	P1C12	71.2
P1	D1	P1D1	22.2
P1	D2	P1D2	45.7
P1	D3	P1D3	48.5
P1	D4	P1D4	43.9
P1	D5	P1D5	44.8
P1	D6	P1D6	48.7
P1	D7	P1D7	41.9
P1	D8	P1D8	43.1
P1	D9	P1D9	41.8
P1	D10	P1D10	45.9
P1	D11	P1D11	41.9
P1	D12	P1D12	64.9
P1	E1	P1E1	19.9
P1	E2	P1E2	60.3
P1	E3	P1E3	31.6
P1	E4	P1E4	30.1
P1	E5	P1E5	25.4
P1	E6	P1E6	32.3
P1	E7	P1E7	39.2
P1	E8	P1E8	54.9
P1	E9	P1E9	48.3
P1	E10	P1E10	28.4
P1	E11	P1E11	59.4
P1	E12	P1E12	48.6
P1	F1	P1F1	0
P1	F2	P1F2	0.58
P1	F3	P1F3	0
P1	F4	P1F4	0.52
P1	F5	P1F5	0
P1	F6	P1F6	8.51
P1	F7	P1F7	2.61
P1	F8	P1F8	10.5
P1	F9	P1F9	41.1
P1	F10	P1F10	38.6
P1	F11	P1F11	76
P1	F12	P1F12	0.61
